type,id,titre,auteur,annee,information
Livre,23,Jas ofl My Mind,Yasmina,2003,180
Livre,22, For You,JAS,2004,220
Livre,23, Adventure,Zak,2021,190
Livre,23,Dreams,Nina,2022,210
Livre,19,Story,Sissi,2023,175
Magazine,28,Magazine,Docha,2025,1
Magazine,19,News,Dihocha,2024,5
Magazine,30,Life,Soussou,2023,8
Magazine,17,Tech,Ghilas,2025,12
Magazine,4,World,Bodi,2022,15
LivreNumerique,22,Programming,Lina,2021,15.2
LivreNumerique,22,Coding,Kahina,2020,10.5
LivreNumerique,24,AI,Feriel,2024,8.7
LivreNumerique,23,Java With Jas,JAS,2025,12.4
Livre,00,Test yout,youva-2020,200
